id,name,user,is_public,date_created,date_updated,question,answer
50aee549d63b41e0b30a0721b5985694,Untitled - 2026-06-25 14:29:54,7e8a74afc19f46c9bf0226a5966e731d,0,2026-06-25 14:29:54.236203,2026-06-25 14:29:54.236206,hallo,Thinking ...
50aee549d63b41e0b30a0721b5985694,Untitled - 2026-06-25 14:29:54,7e8a74afc19f46c9bf0226a5966e731d,0,2026-06-25 14:29:54.236203,2026-06-25 14:29:54.236206,hi,Thinking ...
e0d6d9d2f8f9460e85a3e021754ed937,Untitled - 2026-06-25 14:49:02,7e8a74afc19f46c9bf0226a5966e731d,0,2026-06-25 14:49:02.850642,2026-06-25 14:49:02.850645,hi,Thinking ...
e0d6d9d2f8f9460e85a3e021754ed937,Untitled - 2026-06-25 14:49:02,7e8a74afc19f46c9bf0226a5966e731d,0,2026-06-25 14:49:02.850642,2026-06-25 14:49:02.850645,hi,Thinking ...
0a3d7322f09242ebb82488df08865b1e,Hello Again: A New Conversation Begins,7e8a74afc19f46c9bf0226a5966e731d,0,2026-06-25 15:04:23.271773,2026-06-25 15:04:23.271775,hi,I don't have this information in the knowledge base.
7d492a26354043998887897784b5ac05,Hello Again: A New Conversation Begins,7e8a74afc19f46c9bf0226a5966e731d,0,2026-06-29 12:46:17.455872,2026-06-29 12:46:17.455874,hi,I don't have this information in the knowledge base.
7d492a26354043998887897784b5ac05,Hello Again: A New Conversation Begins,7e8a74afc19f46c9bf0226a5966e731d,0,2026-06-29 12:46:17.455872,2026-06-29 12:46:17.455874,wie viele ECTS hat der Studiengang?,I don't have this information in the knowledge base.
bcf0d7b2287641b6befd702ebe0c2f94,Digital Business Insights: ECTS and More,7e8a74afc19f46c9bf0226a5966e731d,0,2026-06-29 13:21:12.031750,2026-06-29 13:21:12.031756,Wie viele ECTS hat der Studiengang Digital and Data Driven Business,"Laut dem Studienplan, den ich hier habe, hat der Studiengang ""Digital and Data Driven Business"" 240 ECTS."
a4e73c3a41e94c7687c9c949967a1442,Digital Business Insights: Study Duratio,7e8a74afc19f46c9bf0226a5966e731d,1,2026-06-29 13:32:43.902888,2026-06-29 13:32:43.902892,Wie lange ist die Regelstudienzeit im Studiengang Digital and Data Driven Business,"Laut dem Studienplan des Studiengangs ""Digital and Data Driven Business"" an der [Universität] beträgt die Regelstudienzeit 3 Jahre."
a4e73c3a41e94c7687c9c949967a1442,Digital Business Insights: Study Duratio,7e8a74afc19f46c9bf0226a5966e731d,1,2026-06-29 13:32:43.902888,2026-06-29 13:32:43.902892,Wie viele Semester studiere ich D3B,"Im Studiengang ""Digital and Data Driven Business"" an der [Universität] studierst du 6 Semester."
a4e73c3a41e94c7687c9c949967a1442,Digital Business Insights: Study Duratio,7e8a74afc19f46c9bf0226a5966e731d,1,2026-06-29 13:32:43.902888,2026-06-29 13:32:43.902892,Welche Wahlpfichtmodule gibt es,"Ich habe keine Informationen über die Wahlpflichtmodule im Studiengang ""Digital and Data Driven Business""."
a4e73c3a41e94c7687c9c949967a1442,Digital Business Insights: Study Duratio,7e8a74afc19f46c9bf0226a5966e731d,1,2026-06-29 13:32:43.902888,2026-06-29 13:32:43.902892,Für wen ist der Studiengang geeignet?,"Der Studiengang ""Digital and Data Driven Business"" an der [Universität] richtet sich an Studieninteressierte, die ein grundlegendes Verständnis von Geschäftsprozessen und -strategien haben und sich für die digitale Transformation von Unternehmen interessieren."
a4e73c3a41e94c7687c9c949967a1442,Digital Business Insights: Study Duratio,7e8a74afc19f46c9bf0226a5966e731d,1,2026-06-29 13:32:43.902888,2026-06-29 13:32:43.902892,Was muss ich über die Projektarbeit wissen,"Im Studiengang ""Digital and Data Driven Business"" an der [Universität] ist eine Projektarbeit ein wichtiger Bestandteil des Studiums. In dieser Arbeit wirst du in kleinen Teams ein realitätsnahes Geschäftsprojekt durchführen und Lösungen für digitale Herausforderungen entwickeln."
